ISBN,Title,Author,Year,Publisher,Blurb
0553295276,Beauty,Sheri S. Tepper,1992,Bantam,"With the publication of The Gate to Women's Country, Sheri S. Tepper came to be recognized as a major science fiction writer. Now the author of Raising the Stones and Grass -- a New York Times Notable Book and Hugo Award finalist -- turns to Beauty, a fantasy with a story that is more, much more than fable.,Drawing on the wellspring of much-loved, well-remembered fairy tales, Tepper delivers a thought-provoking and finely crafted novel that thoroughly involves the reader in the life of one of the most captivating heroines in modern fantasy -- Beauty. On her sixteenth birthday Beauty is seemingly able to sidestep her aunt's curse. Instead she is transported to the future. Here begin her adventures as she travels magically back and forth in time to visit places both imaginary and real. Finally she comes to understand what has been her special gift to humanity all along.,For in Beauty, there is beauty. And in beauty, magic. Without our enchanted places, humanity is no more than an upstart ape. And this, we realize, is why Beauty must be saved, both in the fantastical world of Tepper's novel and in the actual world in which we live"
0451202627,All of Me: A Voluptuous Tale,Venise T. Berry,2001,New American Library,"Venise Berry's first novel, spent six months on , magazine's Blackboard bestseller list and was an Alternate Selection of the Literary Guild. With ,, Berry again delivers a compelling, humorous, and poignant story on a subject that plagues half the women in America—weight. Serpentine Williamson has a good life: an exciting career as a television reporter in Chicago, a sexy boyfriend, membership in a popular gospel choir, and a family who loves her. But in the midst of her positives lies a powerful negative—her lifelong struggle with weight.,After years of buying into fads and labels, Serpentine finds her world crumbling. And, finally losing the battle to uphold her plummeting self-esteem, she breaks down and needs to be hospitalized. , is a heartwarming, inspiring, and often funny chronicle of Serpentine's fight for recovery. As she learns to meet her challenges with dignity and strength she also learns to love herself, for the first time, just the way she is. , will resonate with women of all shapes and sizes and will once again affirm Venise Berry as a fresh voice in African-American women's fiction, whose snappy characters, according to Rosalyn McMillan, ""double-dare you to put the book down."""
0590449702,"Claudia and the Genius of Elm Street (Baby-Sitters Club, 49)",Ann M. Martin,1991,Scholastic,"Little Rosie Wilder is perfect at everything. She can sing and dance, she plays several musical instruments, and her I.Q. is so high, it's off the scale.,Little Rosie Wilder is perfect at everything. She can sing and dance, she plays several musical instruments, and her I.Q. is so high, it's off the scale."
0316779075,The Birth Book : Everything You Need to Know to Have a Safe and Satisfying Birth (Sears Parenting Library),Martha Sears,1994,"Little, Brown","Prepare for a safe and joyful birth-with the help of America's foremost baby and childcare experts Since women enjoy more birthing options today than ever before, the path toward a safe and satisfying birth can be fraught with important decisions. Planning, understanding the resources available to you, and developing your own birthing philosophy can make all the difference. In this comprehensive, reassuring, and authoritative guide, Dr. Bill and Martha Sears, the pediatrics specialists whose books on pregnancy, babies, and parenting have become widely praised bestsellers, thoroughly explore the abundant choices couples face when anticipating the birth of their child. The topics covered in The Birth Book include: * Selecting the right birthing environment and team *preparing physically and emotionally for childbirth *using prenatal tests and technology wisely *defining the father's role *selecting a childbirth class *lessening the discomfort and speeding the process of labor *choosing or avoiding anesthesia *finding the birthing position that's best for you and your baby *decreasing your chances for a cesarean birth *turning a surgical birth into a rewarding experience As the parents of eight children and as medical professionals with nearly three decades of experience, Dr. Bill and Martha Sears are uniquely qualified to answer virtually every question you might have about the birth process. Their one-of-a-kind guide, rich in information as well as inspiration, enables you to plan and create the birth you want."
0553283502,Time to Let Go,LURLENE MCDANIEL,1990,Bantam,"The doctors assure Erin Bennett and her parents that they can't find a physical cause for her headaches. But the throbbing, violent pain is so intense that Erin knows she needs help. Even landing the lead in the senior musical opposite David Devlin, the good-looking, popular guy everyone else is wild about, doesn't give Erin much pleasure. In fact, she finds David so annoying that her headaches are getting worse.,Erin knows that the headaches started just after the death of her younger sister, Amy, one year ago. She though her grieving was over, but somehow the headaches must be connected to Amy. The therapist Erin starts seeing begins to help her deal with her pain, but what is it about David that triggers Erin's violent reaction?"
0140232257,"Monster : Autobiography of an L.A. Gang Member, The",Sanyika Shakur,1998,Penguin Books,"""After pumping eight blasts from a sawed-off shotgun at a group of rival gang members, twelve-year-old Kody Scott was initiated into the L.A. gang the Crips. He quickly matured into one of the most formidable Crip combat soldiers, earning the name “Monster” for committing acts of brutality and violence that repulsed even his fellow gang members. When the inevitable jail term confined him to a maximum-security cell, a complete political and personal transformation followed: from Monster to Sanyika Shakur, black nationalist, member of the New Afrikan Independence Movement, and crusader against the causes of gangsterism. In a document that has been compared to The Autobiography of Malcolm X and Eldridge Cleaver’s Soul on Ice, Shakur makes palpable the despair and decay of America’s inner cities and gives eloquent voice to one aspect of the black ghetto experience today."""
0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,"In a rolling sea off the coast of South America, a target disappears in a puff of green light. In the Soviet hills of Dushanbe near the Afghanistan border, an otherworldly array of pillars and domes rises into the night. To the two greatest nations on earth, no contest is more urgent than the race to build the first Star Wars missile defense system, and no one knows that more than the two men charged with assessing the Soviets' capabilities: Colonel Mikhail Filitov of the Soviet Union, an old-line warrior distrusted by the army's new inner circle of technocrats, and CIA analyst Jack Ryan, hero of the , affair."
0330314971,Focaults Pendulum,Umberto Eco,0,Pan Books Ltd,"""As brilliant and quirky as THE NAME OF THE ROSE, as mischievous and wide-raning....A virtuoso performance."",THE SAN FRANCISCO CHRONICLE,Three clever book editors, inspired by an extraordinary fable they heard years befoe, decide to have a little fun. Randomly feeding esoteric bits of knowledge into an incredible computer capable of inventing connections between all their entries, they think they are creating a long lazy game - until the game starts taking over ...,Here is an incredible journey of thought and history, memory and fantasy, a tour de force as enthralling as anything Umberto Eco - or indeed anyone - has ever devised."
1860920195,The Pit and the Pendulum,Edgar Allan Poe,2000,Travelman Pub,"Stories in the Travelman Short Stories series take the reader to places of mystery, fantasy, horror, romance, and corners of the universe yet unexplored. In turn, readers take them on the bus or subway, slip them into briefcases and lunchboxes, and send them from Jersey to Juneau.Each classic or original short story is printed on one sheet of paper and folded like a map. This makes it simple to read while commuting, convenient to carry when not, and easy to give or send to a friend. A paper envelope is provided for mailing or gift-giving, and both are packaged in a clear plastic envelope for display. The cost is not much more than a greeting card."
0451453328,A Song for Arbonne,Guy Gavriel Kay,1994,Roc,"Facing conquest by the neighboring Gorhaut--ruled by a dour, crusading, misogynistic lord--the men and women of Arbonne find that their fates lie in the hands of a rough-hewn mercenary captain."
